in_port,eth_dst,out_port,packet_count,byte_count,switch,user_id,instance_id,stage_id,functionality,application_name,role,timestamp
1,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
2,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
3,00:00:00:00:00:04,4,248,374976,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:01,3,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:03,1,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
5,00:00:00:00:00:04,4,523,790776,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
1,00:00:00:00:00:02,5,3,1596,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
1,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
1,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
2,00:00:00:00:00:02,5,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
2,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
2,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
3,00:00:00:00:00:04,2,523,790776,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
3,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:04,2,184,278208,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
4,00:00:00:00:00:05,1,249,376488,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
5,00:00:00:00:00:04,2,123,185976,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
5,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999196.0502677
1,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
2,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
3,00:00:00:00:00:04,4,248,374976,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:01,3,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:03,1,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
5,00:00:00:00:00:04,4,523,790776,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
1,00:00:00:00:00:02,5,3,1596,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
1,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
1,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
2,00:00:00:00:00:02,5,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
2,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
2,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
3,00:00:00:00:00:04,2,523,790776,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
3,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:04,2,184,278208,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
4,00:00:00:00:00:05,1,249,376488,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
5,00:00:00:00:00:04,2,123,185976,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
5,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999197.0530558
1,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
2,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
3,00:00:00:00:00:04,4,248,374976,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:01,3,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:03,1,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
5,00:00:00:00:00:04,4,523,790776,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
1,00:00:00:00:00:02,5,3,1596,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
1,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
1,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
2,00:00:00:00:00:02,5,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
2,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
2,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
3,00:00:00:00:00:04,2,523,790776,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
3,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:04,2,184,278208,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
4,00:00:00:00:00:05,1,249,376488,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
5,00:00:00:00:00:04,2,123,185976,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
5,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999198.054697
1,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
2,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
3,00:00:00:00:00:04,4,248,374976,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:01,3,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:03,1,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
5,00:00:00:00:00:04,4,523,790776,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
1,00:00:00:00:00:02,5,3,1596,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
1,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
1,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
2,00:00:00:00:00:02,5,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
2,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
2,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
3,00:00:00:00:00:04,2,523,790776,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
3,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:04,2,184,278208,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
4,00:00:00:00:00:05,1,249,376488,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
5,00:00:00:00:00:04,2,123,185976,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
5,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999199.0570908
1,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
2,00:00:00:00:00:04,4,124,187488,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
3,00:00:00:00:00:04,4,248,374976,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:01,3,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:03,1,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
5,00:00:00:00:00:04,4,523,790776,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
1,00:00:00:00:00:02,5,3,1596,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
1,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
1,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
2,00:00:00:00:00:02,5,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
2,00:00:00:00:00:07,3,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
2,00:00:00:00:00:08,4,1,1512,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
3,00:00:00:00:00:04,2,523,790776,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
3,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:04,2,184,278208,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
4,00:00:00:00:00:05,1,249,376488,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
5,00:00:00:00:00:04,2,123,185976,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
5,00:00:00:00:00:05,1,167,252504,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999200.0590441
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:02,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:06,2,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:07,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:08,5,1,1512,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999201.0613298
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
