in_port,eth_dst,out_port,packet_count,byte_count,switch,user_id,instance_id,stage_id,functionality,application_name,role,timestamp
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999202.063574
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999203.0659142
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999204.067855
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999205.0698931
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999206.0729053
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999207.0755177
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:07,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:08,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
5,00:00:00:00:00:04,4,524,790818,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
1,00:00:00:00:00:02,5,4,1638,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
1,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
1,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
2,00:00:00:00:00:02,5,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
2,00:00:00:00:00:07,3,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
2,00:00:00:00:00:08,4,2,1554,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
3,00:00:00:00:00:04,2,524,790818,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
3,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:04,2,185,278250,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
4,00:00:00:00:00:05,1,250,376530,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
5,00:00:00:00:00:04,2,124,186018,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
5,00:00:00:00:00:05,1,168,252546,2,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999208.0770726
1,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
2,00:00:00:00:00:04,4,125,187530,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
3,00:00:00:00:00:04,4,249,375018,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
4,00:00:00:00:00:01,3,3,1596,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
4,00:00:00:00:00:02,5,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
4,00:00:00:00:00:03,1,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
4,00:00:00:00:00:06,2,2,1554,1,aaltosea1,p260,controller,sdn-network-control,sdn-simulation,network-controller,1728999209.0786567
